"Market: Travel Tourism - Hotels, Make: All, Region: Singapore, Currency: USD",,,,,,,,,,
,,,,,,,,,,
REVENUE in billion USD (US$),,,,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Total,0.88,0.91,0.95,0.46,0.66,0.89,1.07,1.28,1.35,1.42
Notes,Data shown is using current exchange rates. Data shown does reflect market impacts of Russia-Ukraine war.,,,,,,,,,
Sources,Statista,,,,,,,,,
,,,,,,,,,,
REVENUE GROWTH in percent,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,
Total,3.3,4.4,-51.3,41.6,36,20,19.6,5.5,4.7,
Notes,,,,,,,,,,
Sources,Statista,,,,,,,,,
,,,,,,,,,,
ARPU in USD (US$),,,,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Average,305.4,305.6,305.9,306.5,307.1,307.8,308.3,308.8,309.2,309.4
Notes,,,,,,,,,,
Sources,Statista,,,,,,,,,
