,Hotel Name,Rating,Average
0,Grand_Copthorne_Waterfront-Singapore,Excellent,"2,678"
1,Grand_Copthorne_Waterfront-Singapore,Very Good,"1,427"
2,Grand_Copthorne_Waterfront-Singapore,Average,623
3,Grand_Copthorne_Waterfront-Singapore,Poor,226
4,Grand_Copthorne_Waterfront-Singapore,Terrible,196
5,Royal_Plaza_on_Scotts-Singapore,Excellent,"2,626"
6,Royal_Plaza_on_Scotts-Singapore,Very Good,"2,049"
7,Royal_Plaza_on_Scotts-Singapore,Average,550
8,Royal_Plaza_on_Scotts-Singapore,Poor,135
9,Royal_Plaza_on_Scotts-Singapore,Terrible,123
10,Ibis_Styles_Singapore_Albert-Singapore,Excellent,226
11,Ibis_Styles_Singapore_Albert-Singapore,Very Good,382
12,Ibis_Styles_Singapore_Albert-Singapore,Average,333
13,Ibis_Styles_Singapore_Albert-Singapore,Poor,109
14,Ibis_Styles_Singapore_Albert-Singapore,Terrible,107
15,Mercure_Singapore_On_Stevens-Singapore,Excellent,206
16,Mercure_Singapore_On_Stevens-Singapore,Very Good,153
17,Mercure_Singapore_On_Stevens-Singapore,Average,76
18,Mercure_Singapore_On_Stevens-Singapore,Poor,25
19,Mercure_Singapore_On_Stevens-Singapore,Terrible,13
20,Hotel_Boss-Singapore9,Excellent,"1,371"
21,Hotel_Boss-Singapore9,Very Good,"1,312"
22,Hotel_Boss-Singapore9,Average,781
23,Hotel_Boss-Singapore9,Poor,288
24,Hotel_Boss-Singapore9,Terrible,291
