Hotel Names,Location ,Ratings,Number of Reviews,Prices
Sponsored      Hotel Indigo Singapore Katong,"Mountbatten, Singapore",4.5 of 5 bubbles,803 reviews,S$699
"1. PARKROYAL COLLECTION Marina Bay, Singapore","Esplanade, Singapore",4.5 of 5 bubbles,"8,980 reviews","S$1,989"
2. Marina Bay Sands,"Bayfront, Singapore",4.5 of 5 bubbles,"29,595 reviews","S$3,484S$1,540"
3. V Hotel Bencoolen,"Bencoolen, Singapore",4 of 5 bubbles,"2,344 reviews",S$449
4. The Clan Hotel by Far East Hospitality,"The Raffles Place, Singapore",5 of 5 bubbles,690 reviews,"S$1,054S$1,016"
5. YOTEL Singapore,"Orchard, Singapore",4 of 5 bubbles,"4,009 reviews","S$1,169"
Sponsored      Holiday Inn Express Singapore Clarke Quay,"Fort Canning, Singapore",4 of 5 bubbles,"2,978 reviews","S$1,425"
5. The Scarlet Singapore,"Chinatown, Singapore",4 of 5 bubbles,"2,123 reviews","S$1,802S$731"
6. Orchard Hotel Singapore,"Orchard, Singapore",4.5 of 5 bubbles,"1,081 reviews",S$907
7. Park Regis Singapore,"Clarke Quay, Singapore",4 of 5 bubbles,"5,561 reviews","S$1,531"
8. Grand Copthorne Waterfront,"Outram Park, Singapore",4 of 5 bubbles,"5,123 reviews","S$1,398"
9. York Hotel Singapore,"Orchard, Singapore",3.5 of 5 bubbles,"1,931 reviews",S$612
10. ibis Styles Singapore Albert,"Rochor, Singapore",4.5 of 5 bubbles,"1,157 reviews",S$296
11. 30 Bencoolen,"Bencoolen, Singapore",4.5 of 5 bubbles,585 reviews,S$900
12. Hotel G Singapore,"Bencoolen, Singapore",4 of 5 bubbles,"3,938 reviews",S$504
13. Carlton Hotel Singapore,"Bencoolen, Singapore",4 of 5 bubbles,"5,020 reviews","S$1,388"
"14. Capri by Fraser, China Square / Singapore","Clarke Quay, Singapore",4.5 of 5 bubbles,278 reviews,"S$1,053"
15. Grand Park City Hall,"City Hall, Singapore",4.5 of 5 bubbles,"4,782 reviews","S$1,535S$1,421"
Sponsored      Quincy Hotel Singapore by Far East Hospitality,"Orchard, Singapore",4.5 of 5 bubbles,"3,957 reviews",S$970
16. Hotel Boss,"Lavender, Singapore",4 of 5 bubbles,"4,033 reviews",S$484
"17. Crowne Plaza Changi Airport, an IHG Hotel","Changi Airport, Singapore",4.5 of 5 bubbles,"6,356 reviews",S$432
18. Peninsula Excelsior Hotel,"Clarke Quay, Singapore",3.5 of 5 bubbles,"5,015 reviews",S$801
19. Royal Plaza on Scotts,"Orchard, Singapore",4.5 of 5 bubbles,"5,478 reviews",S$840
20.Mercure Singapore On Stevens,"Orchard, Singapore",4 of 5 bubbles,473 reviews,
"Sponsored      PARKROYAL COLLECTION Pickering, Singapore","Outram, Singapore",4.5 of 5 bubbles,"5,707 reviews","S$1,700"
21. Days Hotel by Wyndham Singapore at Zhongshan Park,"Novena, Singapore",4 of 5 bubbles,"2,920 reviews",S$499
22. Travelodge Harbourfront,"Harbourfront, Singapore",4 of 5 bubbles,"1,518 reviews",S$439
23. Park Avenue Rochester Hotel,"Buona Vista, Singapore",4 of 5 bubbles,"1,034 reviews",S$772
24. Hotel Chancellor at Orchard,"Orchard, Singapore",3 of 5 bubbles,594 reviews,S$702
25. J8 Hotel,"Farrer Park, Singapore",3.5 of 5 bubbles,481 reviews,S$260
"Sponsored      Crowne Plaza Changi Airport, an IHG Hotel","Changi Airport, Singapore",4.5 of 5 bubbles,"6,356 reviews",S$432
26. Aqueen Hotel Paya Lebar,"Paya Lebar, Singapore",4 of 5 bubbles,345 reviews,S$925
27. Dorsett Singapore,"Outram Park, Singapore",4 of 5 bubbles,"1,384 reviews",S$752S$730
28. Strand Hotel,"Bencoolen, Singapore",3.5 of 5 bubbles,610 reviews,S$299
29. Hotel Mi,"Bencoolen, Singapore",4 of 5 bubbles,751 reviews,S$246
30.Singapore Marriott Tang Plaza Hotel,"Orchard, Singapore",4.5 of 5 bubbles,"3,606 reviews",S$718
Sponsored      Village Hotel Katong by Far East Hospitality,"Paya Lebar, Singapore",4.5 of 5 bubbles,"3,459 reviews",S$525
